country,numeromc
EstadosUnidos,13436
Australia,1028
Austria,200
Belgica,106
Canada,1462
RepublicaCheca,113
Francia,1536
Alemania,1425
Irlanda,94
Italia,669
Paisesbajos,262
NuevaZelanda,168
Polonia,517
Espana,580
Suiza,176
ReinoUnido,1397
Ucrania,107
India,512
Indonesia,279
Malasia,341
Filipinas,705
Singapur,143
Taiwan,409
Tailandia,227
China,4978
HongKong,250
Japon,2968
Dinamarca,99
Hungria,111
Israel,219
Rumania,96
Suecia,195
Argentina,221
Brasil,1084
Chile,93
Guatemala,105
Mexico,366
PuertoRico,95
Venezuela,98
Egipto,176
ArabiaSaudi,371
SouthAfrica,346
Turquia,243
EmiratosUnidosdeArabia,194
CoreaDelSur,399
