country,mcnumber,Population,PersonPerMc,BigMacAdjusted,Obesity
Argentina,221,45773884,207121.65,4.16,28.3
Australia,1028,26439111,25718.98,5.07,29
Austria,200,8958960,44794.8,NA,20.1
Belgium,106,11686140,110246.6,NA,22.1
Brazil,1084,216422446,199651.7,4.24,22.1
Canada,1462,38781291,26526.19,4.88,29.4
Chile,93,19629590,211070.86,4.34,28
China,4978,1425671352,286394.41,4.35,6.2
Czech Republic,113,10495295,92878.72,4.56,26
Denmark,99,5910913,59706.19,5.06,19.7
Egypt,176,112716598,640435.22,4.15,32
France,1536,64756584,42159.23,NA,21.6
Germany,1425,83294633,58452.37,NA,22.3
Guatemala,105,18092026,172305.01,4.18,21.2
Hong Kong,250,NA,NA,5.4,NA
Hungary,111,10156239,91497.65,4.44,26.4
India,512,1428627663,2790288.4,4.15,3.9
Indonesia,279,277534122,994745.96,4.23,6.9
Ireland,94,5056935,53797.18,NA,25.3
Israel,219,9174520,41892.79,4.93,26.1
Italy,669,58870762,87998.15,NA,19.9
Japan,2968,123294513,41541.28,4.86,4.3
Malaysia,341,34308525,100611.51,4.4,15.6
Mexico,366,128455567,350971.49,4.27,28.9
Netherlands,262,17618299,67245.42,NA,20.4
New Zealand,168,5228100,31119.64,4.8,30.8
Philippines,705,117337368,166435.98,4.18,6.4
Poland,517,41026067,79354.09,4.4,23.1
Puerto Rico,95,NA,NA,NA,NA
Romania,96,19892812,207216.79,4.48,22.5
Saudi Arabia,371,36947025,99587.67,4.57,35.4
Singapore,143,6014723,42061.0,5.47,6.1
South Africa,346,60414495,174608.37,4.25,28.3
South Korea,399,51784059,129784.61,4.71,4.7
Spain,580,47519628,81930.39,NA,23.8
Sweden,195,10612086,54420.95,4.81,20.6
Swiss,176,NA,NA,NA,NA
Taiwan,409,NA,NA,5.1,NA
Thailand,227,71801279,316305.19,4.23,10
Turkey,243,85816199,353153.08,4.22,32.1
Ukraine,107,36744634,343407.79,4.18,24.1
United Emirates of Arabia,194,NA,NA,NA,NA
United Kingdom,1397,67736802,48487.33,NA,27.8
United States,13436,339996563,25304.89,5.15,36.2
Venezuela,98,28838499,294270.4,NA,25.6
