name,adj_price
Argentina,4.16360052784918
Australia,5.07378555120009
Azerbaijan,4.23190125573003
Bahrain,4.57918160055068
Brazil,4.23769854806457
Britain,4.7657047615295
Canada,4.87825906315953
Chile,4.34429465843856
China,4.35007047746129
Colombia,4.19654165400545
Costa Rica,4.30414377696311
Czech Republic,4.56155620597839
Denmark,5.0568633858384
Egypt,4.15163414275634
Euro area,4.65662852725426
Guatemala,4.18367612615675
Honduras,4.13668314959119
Hong Kong,5.39660404996313
Hungary,4.4381565125052
India,4.15049812928418
Indonesia,4.22600678278554
Israel,4.92899754569369
Japan,4.85573937656811
Jordan,4.18425553033914
Kuwait,4.73786552362294
Malaysia,4.40264361208003
Mexico,4.27179817452217
Moldova,4.21259201955346
New Zealand,4.79922254734561
Nicaragua,4.12090853024272
Norway,5.22693898297253
Oman,4.60601247941655
Pakistan,4.10206725783298
Peru,4.22533128514418
Philippines,4.17867087438569
Poland,4.40047142315451
Qatar,5.80467800375018
Romania,4.48079629382114
Saudi Arabia,4.57285651195224
Singapore,5.47041742877973
South Africa,4.25114485400152
South Korea,4.70838424418642
Sri Lanka,4.12422565847858
Sweden,4.81344554473459
Switzerland,5.1138449703149
Taiwan,5.09884907810472
Thailand,4.23078011995832
Turkey,4.22418584760946
Ukraine,4.18385791907256
United Arab Emirates,4.90169618472372
United States,5.15449907604394
Uruguay,4.3312877558054
Vietnam,4.18016745982498
